onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	2	81	3	A	0	3	8	1	1	True	1.0	3	1	1	1	1a	0	1/8	True	5	True			{	False	0	A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
2	2	76	4	E	0	3	8	1	1	True	2.0	3	1	1	1	1a	1/2	1/8	False	5	False				False	0	A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	1	1	1	True	False	False
4	2	73	7	C	1	3	8	1	1	True	3.0	3	1	1	1	1a	1	1/8	False	5	False				False	0	A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	4	4	4	True	False	False
6	2	69	3	A	0	3	8	1	1	True	1.0	3	2	2	2	2a	3/2	1/8	False	4	False				False	0	A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
8	2	64	4	E	0	3	8	1	1	True	2.0	3	2	2	2	2a	2	1/8	False	4	False				False	0	A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	1	1	1	True	False	False
10	2	61	7	C	1	3	8	1	1	True	3.0	3	2	2	2	2a	5/2	1/8	False	4	False				False	0	A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	4	4	4	True	False	False
12	1	57	3	A	0	3	8	1	1	True	1.0	3	3	3	3	3a	3	1/16	False	3	False				False	0	A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
13	1	45	3	A	0	3	8	2	1	True	1.5	3	3	3	3	3a	13/4	1/16	False	2	False				False	0	A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
14	1	49	7	C	1	3	8	2	1	True	2.0	3	3	3	3	3a	7/2	1/16	False	3	False				False	0	A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	4	4	4	True	False	False
15	1	52	4	E	0	3	8	2	1	True	2.5	3	3	3	3	3a	15/4	1/16	False	3	False				False	0	A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	1	1	1	True	False	False
