onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	2	78	6	F	1	4	4	2	1	True	1.0	2	1	1	1	1a	0	1/8	True	5	True			{	False	0	D.I6{		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	4	4	4	True	False	True
0	2	81	3	A	0	4	4	1	1	True	1.0	2	1	1	1	1a	0	1/8	True	5	True			{	False	0	D.I6{		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	1	1	1	True	False	False
2	2	66	6	F	1	4	4	2	1	True	1.5	2	1	1	1	1a	1/2	1/8	False	4	False				False	0	D.I6{		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	4	4	4	True	False	True
2	2	69	3	A	0	4	4	1	1	True	1.5	2	1	1	1	1a	1/2	1/8	False	4	False				False	0	D.I6{		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	1	1	1	True	False	False
4	2	64	4	E	0	4	4	2	1	True	2.0	2	1	1	1	1a	1	1/8	False	4	True				False	1	V7		D	I		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	2	2	2	2	2	2	True	False	False
4	4	67	1	G	0	4	4	1	1	True	2.0	2	1	1	1	1a	1	1/4	False	4	True				False	1	V7		D	I		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	2	2	2	-1	-1	-1	True	False	False
6	2	57	3	A	0	4	4	2	1	True	2.5	2	1	1	1	1a	3/2	1/8	False	3	False				False	1	V7		D	I		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	2	2	2	1	1	1	True	True	True
8	2	74	2	D	0	4	4	2	1	True	3.0	2	1	1	1	1a	2	1/8	False	5	True				False	2	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
8	2	78	6	F	1	4	4	1	1	True	3.0	2	1	1	1	1a	2	1/8	False	5	True				False	2	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
10	2	62	2	D	0	4	4	2	1	True	3.5	2	1	1	1	1a	5/2	1/8	False	4	False				False	2	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
10	2	66	6	F	1	4	4	1	1	True	3.5	2	1	1	1	1a	5/2	1/8	False	4	False				False	2	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
12	2	61	7	C	1	4	4	2	1	True	4.0	2	1	1	1	1a	3	1/8	False	4	True				False	3	V		D	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	2	2	2	5	5	5	True	False	False
12	4	64	4	E	0	4	4	1	1	True	4.0	2	1	1	1	1a	3	1/4	False	4	True				False	3	V		D	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	2	2	2	2	2	2	True	False	False
14	2	57	3	A	0	4	4	2	1	True	4.5	2	1	1	1	1a	7/2	1/8	False	3	False				False	3	V		D	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	2	2	2	1	1	1	True	True	True
16	2	78	6	F	1	4	4	2	1	True	1.0	2	2	2	2	2a	4	1/8	False	5	True				False	4	I6		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	4	4	4	True	False	True
16	2	81	3	A	0	4	4	1	1	True	1.0	2	2	2	2	2a	4	1/8	False	5	True				False	4	I6		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	1	1	1	True	False	False
18	2	66	6	F	1	4	4	2	1	True	1.5	2	2	2	2	2a	9/2	1/8	False	4	False				False	4	I6		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	4	4	4	True	False	True
18	2	69	3	A	0	4	4	1	1	True	1.5	2	2	2	2	2a	9/2	1/8	False	4	False				False	4	I6		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	1	1	1	True	False	False
