onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	96	38	2	D	0	4	4	2	2	True	1.0	-1	1	1	1	1a	0	1	True	2	True				False	0	d.i[i		d	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	2	2	2	0	0	0	True	True	True
0	24	50	2	D	0	4	4	2	1	True	1.0	-1	1	1	1	1a	0	1/4	True	3	True				False	0	d.i[i		d	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	2	2	2	0	0	0	True	True	True
0	48	53	-1	F	0	4	4	1	2	True	1.0	-1	1	1	1	1a	0	1/2	True	3	True				False	0	d.i[i		d	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	2	2	2	-3	-3	-3	True	False	False
0	36	62	2	D	0	4	4	1	1	True	1.0	-1	1	1	1	1a	0	3/8	True	4	True				False	0	d.i[i		d	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	2	2	2	0	0	0	True	True	True
24	24	50	2	D	0	4	4	2	1	True	2.0	-1	1	1	1	1a	1	1/4	False	3	False				False	0	d.i[i		d	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	2	2	2	0	0	0	True	True	True
36	12	57	3	A	0	4	4	1	1	True	2.5	-1	1	1	1	1a	3/2	1/8	False	3	False				False	0	d.i[i		d	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	2	2	2	1	1	1	True	False	False
48	24	50	2	D	0	4	4	2	1	True	3.0	-1	1	1	1	1a	2	1/4	False	3	False				False	0	d.i[i		d	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	2	2	2	0	0	0	True	True	True
48	48	57	3	A	0	4	4	1	2	True	3.0	-1	1	1	1	1a	2	1/2	False	3	False				False	0	d.i[i		d	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	2	2	2	1	1	1	True	False	False
48	36	65	-1	F	0	4	4	1	1	True	3.0	-1	1	1	1	1a	2	3/8	False	4	False				False	0	d.i[i		d	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	2	2	2	-3	-3	-3	True	False	False
72	24	50	2	D	0	4	4	2	1	True	4.0	-1	1	1	1	1a	3	1/4	False	3	False				False	0	d.i[i		d	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	2	2	2	0	0	0	True	True	True
