onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	8.0	0.0	55	1	G	0.0	1.0	1	2	2	3.0	1.0	1/2	True	0	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	G.I{		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
8.0	8.0	1.0	55	1	G	0.0	2.0	2	2	2	3.0	1.0	1/2	True	0	1.0	1.0	1.0	1a	3	2	False	False				False	0	G.I{		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
16.0	16.0	2.0	43	1	G	0.0	1.0	1	4	2	21.0	1.0	1	True	0	2.0	2.0	2.0	2a	2	4	False	False				False	0	G.I{		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
18.0	2.0	2.25	55	1	G	0.0	1.25	0	4	2	3.0	1.0	1/8	True	0	2.0	2.0	2.0	2a	3	9/2	False	False				False	0	G.I{		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
20.0	2.0	2.5	55	1	G	0.0	1.5	0	4	2	3.0	1.0	1/8	True	0	2.0	2.0	2.0	2a	3	5	False	False				False	0	G.I{		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
22.0	2.0	2.75	55	1	G	0.0	1.75	0	4	2	3.0	1.0	1/8	True	0	2.0	2.0	2.0	2a	3	11/2	False	False				False	0	G.I{		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
24.0	8.0	3.0	59	5	B	0.0	2.0	2	4	2	3.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	3	6	False	False				False	0	G.I{		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	4	4	4	True	False	False
32.0	8.0	4.0	43	1	G	0.0	3.0	3	4	2	21.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	2	8	False	False				False	0	G.I{		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
32.0	12.0	4.0	59	5	B	0.0	3.0	3	4	2	3.0	1.0	3/4	True	0	2.0	2.0	2.0	2a	3	8	False	False				False	0	G.I{		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	4	4	4	True	False	False
40.0	8.0	5.0	43	1	G	0.0	4.0	4	4	2	21.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	2	10	False	False				False	0	G.I{		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
