onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	8.0	0.0	67	1	G	0.0	1.0	1	2	4	2.0	1.0	1/4	True	-2	1.0	1.0	1.0	1a	4	0	True	True			{	False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
0.0	8.0	0.0	79	1	G	0.0	1.0	1	2	4	1.0	1.0	1/4	True	-2	1.0	1.0	1.0	1a	5	0	True	True			{	False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
8.0	6.0	1.0	74	2	D	0.0	2.0	2	2	4	2.0	1.0	3/16	True	-2	1.0	1.0	1.0	1a	5	1	False	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
8.0	6.0	1.0	86	2	D	0.0	2.0	2	2	4	1.0	1.0	3/16	True	-2	1.0	1.0	1.0	1a	6	1	False	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
14.0	2.0	1.75	72	0	C	0.0	2.75	0	2	4	2.0	1.0	1/16	True	-2	1.0	1.0	1.0	1a	5	7/4	False	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-1	-1	-1	False	False	False
14.0	2.0	1.75	84	0	C	0.0	2.75	0	2	4	1.0	1.0	1/16	True	-2	1.0	1.0	1.0	1a	6	7/4	False	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-1	-1	-1	False	False	False
16.0	4.0	2.0	75	-3	E	-1.0	1.0	1	2	4	2.0	1.0	1/8	True	-2	2.0	2.0	2.0	2a	5	2	False	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-4	-4	-4	False	False	False
16.0	4.0	2.0	87	-3	E	-1.0	1.0	1	2	4	1.0	1.0	1/8	True	-2	2.0	2.0	2.0	2a	6	2	False	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-4	-4	-4	False	False	False
20.0	8.0	2.5	74	2	D	0.0	1.5	0	2	4	2.0	1.0	1/4	True	-2	2.0	2.0	2.0	2a	5	5/2	False	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
20.0	8.0	2.5	86	2	D	0.0	1.5	0	2	4	1.0	1.0	1/4	True	-2	2.0	2.0	2.0	2a	6	5/2	False	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
