onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	cadence_subtype	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	2.0	0.0	55	1	G	0.0	3	8	2.0	1.0	1/8	True	1	1.0	1.0	0.0	0a	3	0	True	True				{	False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
0.0	2.0	0.0	71	5	B	0.0	3	8	1.0	1.0	1/8	True	1	1.0	1.0	0.0	0a	4	0	True	True				{	False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	4	4	4	True	False	False
2.0	2.0	1.0	55	1	G	0.0	3	8	2.0	1.0	1/8	True	1	2.0	2.0	1.0	1a	3	1/2	False	False					False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
2.0	4.0	1.0	71	5	B	0.0	3	8	1.0	1.0	1/4	True	1	2.0	2.0	1.0	1a	4	1/2	False	False					False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	4	4	4	True	False	False
4.0	2.0	2.0	47	5	B	0.0	3	8	2.0	1.0	1/8	True	1	2.0	2.0	1.0	1a	2	1	False	True					False	1		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1	1	1	4	4	4	True	False	True
6.0	2.0	3.0	50	2	D	0.0	3	8	2.0	1.0	1/8	True	1	2.0	2.0	1.0	1a	3	3/2	False	True					False	2		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	1	1	1	True	True	True
6.0	2.0	3.0	69	3	A	0.0	3	8	1.0	1.0	1/8	True	1	2.0	2.0	1.0	1a	4	3/2	False	True					False	2		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	2	2	2	True	False	False
8.0	4.0	4.0	43	1	G	0.0	3	8	2.0	1.0	1/4	True	1	3.0	3.0	2.0	2a	2	2	False	True					False	3		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
8.0	2.0	4.0	67	1	G	0.0	3	8	1.0	1.0	1/8	True	1	3.0	3.0	2.0	2a	4	2	False	True					False	3		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
10.0	2.0	5.0	62	2	D	0.0	3	8	1.0	1.0	1/8	True	1	3.0	3.0	2.0	2a	4	5/2	False	False					False	3		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	1	1	1	True	False	False
12.0	2.0	6.0	55	1	G	0.0	3	8	2.0	1.0	1/8	True	1	3.0	3.0	2.0	2a	3	3	False	False					False	3		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
12.0	2.0	6.0	74	2	D	0.0	3	8	1.0	1.0	1/8	True	1	3.0	3.0	2.0	2a	5	3	False	False					False	3		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	1	1	1	True	False	False
