onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	48.0	0.0	60	0	C	0.0	3.0	3	4	4	1.0	1.0	1/4	True	0	1.0	1.0	0.0	0a	4	0	True	True				False	0	C.IV64	C	I		IV64	IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	0	0	0	0	0	0	True	False	True
48.0	48.0	1.0	69	3	A	0.0	4.0	4	4	4	1.0	1.0	1/4	True	0	1.0	1.0	0.0	0a	4	1	False	False				False	0	C.IV64	C	I		IV64	IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	0	0	0	3	3	3	True	False	False
96.0	48.0	2.0	60	0	C	0.0	1.0	1	4	4	2.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	4	2	False	True				False	1	I	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
96.0	48.0	2.0	67	1	G	0.0	1.0	1	4	4	1.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	4	2	False	True				False	1	I	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	1	1	1	True	False	False
144.0	48.0	3.0	69	3	A	0.0	2.0	2	4	4	2.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	4	3	False	True				False	2	IV6	C	I		IV6	IV		6			M	False	False	(3, 0, -1)	()	-1	3	major	major	I	I, major	IV		I	I	False	IV6	IV6, major		IV6, major		IV	0	0	0	3	3	3	True	False	True
144.0	48.0	3.0	72	0	C	0.0	2.0	2	4	4	1.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	5	3	False	True				False	2	IV6	C	I		IV6	IV		6			M	False	False	(3, 0, -1)	()	-1	3	major	major	I	I, major	IV		I	I	False	IV6	IV6, major		IV6, major		IV	0	0	0	0	0	0	True	False	False
192.0	48.0	4.0	48	0	C	0.0	3.0	3	4	4	3.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	3	4	False	True				False	3	I	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
192.0	48.0	4.0	55	1	G	0.0	3.0	3	4	4	2.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	3	4	False	True				False	3	I	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	1	1	1	True	False	False
192.0	48.0	4.0	64	4	E	0.0	3.0	3	4	4	2.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	4	4	False	True				False	3	I	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
192.0	48.0	4.0	72	0	C	0.0	3.0	3	4	4	1.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	5	4	False	True				False	3	I	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
