onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	8	50	2	D	0	4	2	2	1	True	1.0	0	1	1	1	1a	0	1	True	3	True			{	False	0	d.i{	d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
4	2	69	3	A	0	4	2	1	2	True	2.0	0	1	1	1	1a	2	1/4	False	4	False				False	0	d.i{	d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
6	2	67	1	G	0	4	2	1	2	True	2.5	0	1	1	1	1a	3	1/4	False	4	False				False	0	d.i{	d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-1	-1	-1	False	False	False
8	8	57	3	A	0	4	2	2	1	True	3.0	0	1	1	1	1a	4	1	False	3	True				False	1	v	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	1	1	1	True	True	True
8	2	66	6	F	1	4	2	1	2	True	3.0	0	1	1	1	1a	4	1/4	False	4	True				False	1	v	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	4	4	4	False	False	False
10	2	64	4	E	0	4	2	1	2	True	3.5	0	1	1	1	1a	5	1/4	False	4	False				False	1	v	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	2	2	2	True	False	False
12	2	57	3	A	0	4	2	2	2	True	4.0	0	1	1	1	1a	6	1/4	False	3	False				False	1	v	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	1	1	1	True	True	True
12	2	65	-1	F	0	4	2	1	2	True	4.0	0	1	1	1	1a	6	1/4	False	4	False				False	1	v	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	-3	-3	-3	False	False	False
14	2	55	1	G	0	4	2	2	2	True	4.5	0	1	1	1	1a	7	1/4	False	3	False				False	1	v	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	-1	-1	-1	False	False	False
14	2	64	4	E	0	4	2	1	2	True	4.5	0	1	1	1	1a	7	1/4	False	4	False				False	1	v	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	2	2	2	True	False	False
16	2	54	6	F	1	4	2	2	2	True	1.0	0	2	2	2	2a	8	1/4	False	3	True				False	2	I6(2)	d	i		I6(2)	I		6	2		M	True	True	(4, 1, 2)	()	0	4	minor	minor	i	i, minor	I		i	i	True	I6	I6, minor		I6(2), minor		I	2	2	2	4	4	4	True	False	True
16	8	57	3	A	0	4	2	2	1	True	1.0	0	2	2	2	2a	8	1	False	3	True				False	2	I6(2)	d	i		I6(2)	I		6	2		M	True	True	(4, 1, 2)	()	0	4	minor	minor	i	i, minor	I		i	i	True	I6	I6, minor		I6(2), minor		I	2	2	2	1	1	1	True	False	False
16	4	64	4	E	0	4	2	1	2	True	1.0	0	2	2	2	2a	8	1/2	False	4	True				False	2	I6(2)	d	i		I6(2)	I		6	2		M	True	True	(4, 1, 2)	()	0	4	minor	minor	i	i, minor	I		i	i	True	I6	I6, minor		I6(2), minor		I	2	2	2	2	2	2	True	False	False
18	2	52	4	E	0	4	2	2	2	True	1.5	0	2	2	2	2a	9	1/4	False	3	False				False	2	I6(2)	d	i		I6(2)	I		6	2		M	True	True	(4, 1, 2)	()	0	4	minor	minor	i	i, minor	I		i	i	True	I6	I6, minor		I6(2), minor		I	2	2	2	2	2	2	True	False	False
20	4	53	-1	F	0	4	2	2	2	True	2.0	0	2	2	2	2a	10	1/2	False	3	True				False	3	i6	d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
20	4	62	2	D	0	4	2	1	2	True	2.0	0	2	2	2	2a	10	1/2	False	4	True				False	3	i6	d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	0	0	0	True	True	False
20	6	74	2	D	0	4	2	1	1	True	2.0	0	2	2	2	2a	10	3/4	False	5	True				False	3	i6	d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	0	0	0	True	True	False
24	8	52	4	E	0	4	2	2	2	True	3.0	0	2	2	2	2a	12	1	False	3	True				False	4	VII6(2)	d	i		VII6(2)	VII		6	2		M	True	True	(2, -1, 0)	()	-2	2	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6(2), minor		VII	2	2	2	2	2	2	True	False	True
