onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	2.0	0.0	53	-1	F	0.0	1.0	1	3	4	3.0	1.0	1/4	True	-2	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	f.i{		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
0.0	2.0	0.0	53	-1	F	0.0	1.0	1	3	4	4.0	1.0	1/4	True	-2	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	f.i{		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
0.0	2.0	0.0	77	-1	F	0.0	1.0	1	3	4	2.0	1.0	1/4	True	-2	1.0	1.0	1.0	1a	5	0	True	True			{	False	0	f.i{		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
0.0	2.0	0.0	80	-4	A	-1.0	1.0	1	3	4	1.0	1.0	1/4	True	-2	1.0	1.0	1.0	1a	5	0	True	True			{	False	0	f.i{		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
2.0	4.0	1.0	48	0	C	0.0	2.0	2	3	4	3.0	1.0	1/2	True	-2	1.0	1.0	1.0	1a	3	1	False	True				False	1	V		f	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	-1	-1	-1	1	1	1	True	True	True
2.0	4.0	1.0	48	0	C	0.0	2.0	2	3	4	4.0	1.0	1/2	True	-2	1.0	1.0	1.0	1a	3	1	False	True				False	1	V		f	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	-1	-1	-1	1	1	1	True	True	True
2.0	3.0	1.0	76	4	E	0.0	2.0	2	3	4	2.0	1.0	3/8	True	-2	1.0	1.0	1.0	1a	5	1	False	True				False	1	V		f	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	-1	-1	-1	5	5	5	True	False	False
2.0	3.0	1.0	79	1	G	0.0	2.0	2	3	4	1.0	1.0	3/8	True	-2	1.0	1.0	1.0	1a	5	1	False	True				False	1	V		f	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	-1	-1	-1	2	2	2	True	False	False
5.0	1.0	2.5	76	4	E	0.0	3.5	0	3	4	2.0	1.0	1/8	True	-2	1.0	1.0	1.0	1a	5	5/2	False	False				False	1	V		f	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	-1	-1	-1	5	5	5	True	False	False
5.0	1.0	2.5	79	1	G	0.0	3.5	0	3	4	1.0	1.0	1/8	True	-2	1.0	1.0	1.0	1a	5	5/2	False	False				False	1	V		f	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	-1	-1	-1	2	2	2	True	False	False
6.0	4.0	3.0	53	-1	F	0.0	1.0	1	3	4	3.0	1.0	1/2	True	-2	2.0	2.0	2.0	2a	3	3	False	True				False	2	i		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
6.0	4.0	3.0	53	-1	F	0.0	1.0	1	3	4	4.0	1.0	1/2	True	-2	2.0	2.0	2.0	2a	3	3	False	True				False	2	i		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
6.0	4.0	3.0	77	-1	F	0.0	1.0	1	3	4	2.0	1.0	1/2	True	-2	2.0	2.0	2.0	2a	5	3	False	True				False	2	i		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
6.0	3.0	3.0	80	-4	A	-1.0	1.0	1	3	4	1.0	1.0	3/8	True	-2	2.0	2.0	2.0	2a	5	3	False	True				False	2	i		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
9.0	1.0	4.5	82	-2	B	-1.0	2.5	0	3	4	1.0	1.0	1/8	True	-2	2.0	2.0	2.0	2a	5	9/2	False	False				False	2	i		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-1	-1	-1	False	False	False
10.0	2.0	5.0	51	-3	E	-1.0	3.0	3	3	4	3.0	1.0	1/4	True	-2	2.0	2.0	2.0	2a	3	5	False	True				False	3	v6		f	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	-1	-1	-1	-2	-2	-2	True	False	True
10.0	2.0	5.0	51	-3	E	-1.0	3.0	3	3	4	4.0	1.0	1/4	True	-2	2.0	2.0	2.0	2a	3	5	False	True				False	3	v6		f	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	-1	-1	-1	-2	-2	-2	True	False	True
10.0	2.0	5.0	72	0	C	0.0	3.0	3	3	4	2.0	1.0	1/4	True	-2	2.0	2.0	2.0	2a	5	5	False	True				False	3	v6		f	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	-1	-1	-1	1	1	1	True	True	False
