onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	2.0	0.0	52	4	E	0.0	1.0	1	12	8	3.0	1.0	1/4	True	3	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	E.I{		E	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	0	0	0	True	True	True
0.0	2.0	0.0	52	4	E	0.0	1.0	1	12	8	4.0	1.0	1/4	True	3	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	E.I{		E	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	0	0	0	True	True	True
0.0	3.0	0.0	80	8	G	1.0	1.0	1	12	8	2.0	1.0	3/8	True	3	1.0	1.0	1.0	1a	5	0	True	True			{	False	0	E.I{		E	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	4	4	4	True	False	False
0.0	3.0	0.0	83	5	B	0.0	1.0	1	12	8	1.0	1.0	3/8	True	3	1.0	1.0	1.0	1a	5	0	True	True			{	False	0	E.I{		E	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	1	1	1	True	False	False
3.0	1.0	1.0	52	4	E	0.0	2.0	2	12	8	3.0	1.0	1/8	True	3	1.0	1.0	1.0	1a	3	3/2	False	False				False	0	E.I{		E	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	0	0	0	True	True	True
3.0	1.0	1.0	52	4	E	0.0	2.0	2	12	8	4.0	1.0	1/8	True	3	1.0	1.0	1.0	1a	3	3/2	False	False				False	0	E.I{		E	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	0	0	0	True	True	True
4.0	2.0	1.333	52	4	E	0.0	2.333	0	12	8	3.0	1.0	1/4	True	3	1.0	1.0	1.0	1a	3	2	False	False				False	0	E.I{		E	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	0	0	0	True	True	True
4.0	2.0	1.333	52	4	E	0.0	2.333	0	12	8	4.0	1.0	1/4	True	3	1.0	1.0	1.0	1a	3	2	False	False				False	0	E.I{		E	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	0	0	0	True	True	True
5.0	1.0	1.667	80	8	G	1.0	2.667	0	12	8	2.0	1.0	1/8	True	3	1.0	1.0	1.0	1a	5	5/2	False	False				False	0	E.I{		E	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	4	4	4	True	False	False
5.0	1.0	1.667	83	5	B	0.0	2.667	0	12	8	1.0	1.0	1/8	True	3	1.0	1.0	1.0	1a	5	5/2	False	False				False	0	E.I{		E	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	1	1	1	True	False	False
