onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	4.0	0.0	53	-1	F	0.0	1.0	1	3	4	3.0	1.0	1/2	True	-1	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	F.I{	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
0.0	4.0	0.0	53	-1	F	0.0	1.0	1	3	4	4.0	1.0	1/2	True	-1	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	F.I{	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
0.0	3.0	0.0	81	3	A	0.0	1.0	1	3	4	2.0	1.0	3/8	True	-1	1.0	1.0	1.0	1a	5	0	True	True			{	False	0	F.I{	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
0.0	3.0	0.0	84	0	C	0.0	1.0	1	3	4	1.0	1.0	3/8	True	-1	1.0	1.0	1.0	1a	6	0	True	True			{	False	0	F.I{	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
3.0	1.0	1.5	82	-2	B	-1.0	2.5	0	3	4	2.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	5	3/2	False	False				False	0	F.I{	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	-1	-1	-1	False	False	False
3.0	1.0	1.5	86	2	D	0.0	2.5	0	3	4	1.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	6	3/2	False	False				False	0	F.I{	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	3	3	3	False	False	False
4.0	2.0	2.0	55	1	G	0.0	3.0	3	3	4	3.0	1.0	1/4	True	-1	1.0	1.0	1.0	1a	3	2	False	True				False	1	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	2	2	2	True	False	True
4.0	2.0	2.0	55	1	G	0.0	3.0	3	3	4	4.0	1.0	1/4	True	-1	1.0	1.0	1.0	1a	3	2	False	True				False	1	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	2	2	2	True	False	True
4.0	2.0	2.0	79	1	G	0.0	3.0	3	3	4	2.0	1.0	1/4	True	-1	1.0	1.0	1.0	1a	5	2	False	True				False	1	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	2	2	2	True	False	True
4.0	2.0	2.0	82	-2	B	-1.0	3.0	3	3	4	1.0	1.0	1/4	True	-1	1.0	1.0	1.0	1a	5	2	False	True				False	1	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	-1	-1	-1	True	False	False
6.0	3.0	3.0	57	3	A	0.0	1.0	1	3	4	3.0	1.0	3/8	True	-1	2.0	2.0	2.0	2a	3	3	False	True				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	4	4	4	True	False	True
6.0	3.0	3.0	57	3	A	0.0	1.0	1	3	4	4.0	1.0	3/8	True	-1	2.0	2.0	2.0	2a	3	3	False	True				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	4	4	4	True	False	True
6.0	3.0	3.0	77	-1	F	0.0	1.0	1	3	4	2.0	1.0	3/8	True	-1	2.0	2.0	2.0	2a	5	3	False	True				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	0	0	0	True	True	False
6.0	3.0	3.0	81	3	A	0.0	1.0	1	3	4	1.0	1.0	3/8	True	-1	2.0	2.0	2.0	2a	5	3	False	True				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	4	4	4	True	False	True
9.0	1.0	4.5	55	1	G	0.0	2.5	0	3	4	3.0	1.0	1/8	True	-1	2.0	2.0	2.0	2a	3	9/2	False	False				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	2	2	2	False	False	False
9.0	1.0	4.5	55	1	G	0.0	2.5	0	3	4	4.0	1.0	1/8	True	-1	2.0	2.0	2.0	2a	3	9/2	False	False				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	2	2	2	False	False	False
9.0	1.0	4.5	79	1	G	0.0	2.5	0	3	4	2.0	1.0	1/8	True	-1	2.0	2.0	2.0	2a	5	9/2	False	False				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	2	2	2	False	False	False
9.0	1.0	4.5	82	-2	B	-1.0	2.5	0	3	4	1.0	1.0	1/8	True	-1	2.0	2.0	2.0	2a	5	9/2	False	False				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	-1	-1	-1	False	False	False
10.0	2.0	5.0	53	-1	F	0.0	3.0	3	3	4	3.0	1.0	1/4	True	-1	2.0	2.0	2.0	2a	3	5	False	True				False	3	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
10.0	2.0	5.0	53	-1	F	0.0	3.0	3	3	4	4.0	1.0	1/4	True	-1	2.0	2.0	2.0	2a	3	5	False	True				False	3	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
