onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	4.0	0.0	57	3	A	0.0	1.0	1	4	4	3.0	1.0	1/4	True	2	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	A.I{	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
0.0	4.0	0.0	57	3	A	0.0	1.0	1	4	4	4.0	1.0	1/4	True	2	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	A.I{	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
0.0	2.0	0.0	69	3	A	0.0	1.0	1	4	4	1.0	1.0	1/8	True	2	1.0	1.0	1.0	1a	4	0	True	True			{	False	0	A.I{	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
2.0	2.0	0.5	73	7	C	1.0	1.5	0	4	4	1.0	1.0	1/8	True	2	1.0	1.0	1.0	1a	5	1/2	False	False				False	0	A.I{	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	4	4	4	True	False	False
4.0	4.0	1.0	56	8	G	1.0	2.0	2	4	4	3.0	1.0	1/4	True	2	1.0	1.0	1.0	1a	3	1	False	True				False	1	V6	A	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	3	3	3	5	5	5	True	False	True
4.0	4.0	1.0	56	8	G	1.0	2.0	2	4	4	4.0	1.0	1/4	True	2	1.0	1.0	1.0	1a	3	1	False	True				False	1	V6	A	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	3	3	3	5	5	5	True	False	True
4.0	2.0	1.0	76	4	E	0.0	2.0	2	4	4	1.0	1.0	1/8	True	2	1.0	1.0	1.0	1a	5	1	False	True				False	1	V6	A	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	3	3	3	1	1	1	True	True	False
6.0	2.0	1.5	64	4	E	0.0	2.5	0	4	4	1.0	1.0	1/8	True	2	1.0	1.0	1.0	1a	4	3/2	False	False				False	1	V6	A	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	3	3	3	1	1	1	True	True	False
8.0	4.0	2.0	54	6	F	1.0	3.0	3	4	4	3.0	1.0	1/4	True	2	1.0	1.0	1.0	1a	3	2	False	True				False	2	vi	A	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	3	3	3	3	3	3	True	True	True
8.0	4.0	2.0	54	6	F	1.0	3.0	3	4	4	4.0	1.0	1/4	True	2	1.0	1.0	1.0	1a	3	2	False	True				False	2	vi	A	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	3	3	3	3	3	3	True	True	True
