onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	12.0	0.0	50	2	D	0.0	1.0	1	4	4	3.0	1.0	3/4	True	0	1.0	1.0	1.0	1a	3	0	True	True				False	0	d.i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
0.0	16.0	0.0	69	3	A	0.0	1.0	1	4	4	1.0	1.0	1	True	0	1.0	1.0	1.0	1a	4	0	True	True				False	0	d.i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
12.0	4.0	3.0	52	4	E	0.0	4.0	4	4	4	3.0	1.0	1/4	True	0	1.0	1.0	1.0	1a	3	3	False	False				False	0	d.i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	2	2	2	False	False	False
16.0	8.0	4.0	53	-1	F	0.0	1.0	1	4	4	3.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	3	4	False	True				False	1	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
16.0	8.0	4.0	69	3	A	0.0	1.0	1	4	4	1.0	1.0	1/2	False	0	2.0	2.0	2.0	2a	4	4	False	True				False	1	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	1	1	1	True	False	False
24.0	8.0	6.0	55	1	G	0.0	3.0	3	4	4	3.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	3	6	False	True				False	2	IV		d	i		IV	IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	2	2	2	-1	-1	-1	True	True	True
24.0	4.0	6.0	71	5	B	0.0	3.0	3	4	4	1.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	4	6	False	True				False	2	IV		d	i		IV	IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	2	2	2	3	3	3	True	False	False
28.0	4.0	7.0	71	5	B	0.0	4.0	4	4	4	1.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	4	7	False	False				False	2	IV		d	i		IV	IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	2	2	2	3	3	3	True	False	False
32.0	8.0	8.0	57	3	A	0.0	1.0	1	4	4	3.0	1.0	1/2	True	0	3.0	3.0	3.0	3a	3	8	False	True				False	3	V		d	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	2	2	2	1	1	1	True	True	True
32.0	8.0	8.0	73	7	C	1.0	1.0	1	4	4	1.0	1.0	1/2	True	0	3.0	3.0	3.0	3a	5	8	False	True				False	3	V		d	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	2	2	2	5	5	5	True	False	False
